Süre;Uzama;Gerilim 1;Yük
(sec);(mm);(mm/mm);(N)
0,000;0,00;0,00000;-0,1173
0,2000;0,0107;0,00000;25,3197
0,4000;0,0259;0,00001;61,0628
0,6000;0,0398;0,00002;99,4518
0,8000;0,0533;0,00003;138,8240
1,000;0,0666;0,00003;189,6291
1,200;0,0799;0,00005;244,2186
1,400;0,0933;0,00006;327,6009
1,600;0,107;0,00008;425,6565
1,800;0,120;0,00010;531,7152
2,000;0,133;0,000119;660,7773
2,200;0,147;0,000146;836,4049
2,400;0,160;0,000181;1087,3598
2,600;0,173;0,000215;1367,8706
2,800;0,187;0,000252;1689,2418
3,000;0,200;0,000289;2026,9377
3,200;0,213;0,000325;2360,5511
3,400;0,226;0,000361;2682,4111
3,600;0,240;0,000396;3005,4769
3,800;0,253;0,000430;3309,5516
4,000;0,266;0,000462;3594,3113
4,200;0,280;0,000493;3860,4781
4,400;0,293;0,000522;4113,6652
4,600;0,307;0,000550;4350,3325
4,800;0,320;0,000577;4576,1522
5,000;0,333;0,000604;4800,2906
5,200;0,347;0,000629;5016,3299
5,400;0,360;0,000654;5228,4587
5,600;0,373;0,000680;5431,6450
5,800;0,387;0,000705;5639,4372
6,000;0,400;0,000731;5833,4708
6,200;0,413;0,000756;6017,6663
6,400;0,427;0,000782;6202,6665
6,600;0,440;0,000808;6382,4661
6,800;0,453;0,000833;6551,9802
7,000;0,466;0,000857;6710,5450
7,200;0,480;0,000883;6872,3328
7,400;0,493;0,000907;7024,8857
7,600;0,507;0,000932;7169,9247
7,800;0,520;0,000957;7311,6526
8,000;0,533;0,000982;7455,1679
8,200;0,547;0,00101;7593,3523
8,400;0,560;0,00103;7725,2515
8,600;0,573;0,00106;7860,4005
8,800;0,587;0,00108;7992,6297
9,000;0,600;0,00111;8123,3270
9,200;0,613;0,00114;8249,4386
9,400;0,627;0,00117;8379,1010
9,600;0,640;0,00120;8501,1281
9,800;0,653;0,00123;8615,5757
10,00;0,667;0,00126;8733,8746
10,20;0,680;0,00130;8856,1520
10,40;0,693;0,00133;8975,4038
10,60;0,707;0,00136;9088,3859
10,80;0,720;0,00140;9210,3608
11,00;0,733;0,00144;9326,8096
11,20;0,747;0,00148;9437,9961
11,40;0,760;0,00152;9551,6033
11,60;0,773;0,00157;9668,4501
11,80;0,787;0,00161;9782,6764
